host,date,runtime,runtime_version,model,quant,bits_per_weight,suite,threads,kernel,backend,decode_tok_per_s,ttft_ms,weight_bytes_per_token,achieved_gbps,memcpy_gbps,roofline_pct,peak_rss_mb,joules_per_token,energy_source,status,note
DESKTOP-HV2MQTM,2026-08-25T19:56:00Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,1,avx512vnni,cpu/avx512vnnix1,19.401,345.9,1177681920,22.85,48.250348124138,47.353675884040825,1220,,none,ok,
DESKTOP-HV2MQTM,2026-08-25T19:56:00Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,1,,cpu,15.40,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-25T19:56:00Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,1,,cpu,13.61,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-08-25T19:57:36Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,2,avx512vnni,cpu/avx512vnnix2,26.73,243.1,1177681920,31.48,58.26645590192819,54.02648453481292,1220,,none,ok,
DESKTOP-HV2MQTM,2026-08-25T19:57:36Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,2,,cpu,22.06,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-25T19:57:36Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,2,,cpu,19.10,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-08-25T19:58:47Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,4,avx512vnni,cpu/avx512vnnix4,27.896,238.8,1177681920,32.85,57.23869498513248,57.39657085556239,1220,,none,ok,
DESKTOP-HV2MQTM,2026-08-25T19:58:47Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,4,,cpu,27.83,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-25T19:58:47Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,4,,cpu,26.72,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-08-25T19:59:51Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,8,avx512vnni,cpu/avx512vnnix8,25.928,252.3,1177681920,30.53,52.66785755383248,57.975511810721216,1219,,none,ok,
DESKTOP-HV2MQTM,2026-08-25T19:59:51Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,8,,cpu,26.18,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-25T19:59:51Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,8,,cpu,32.49,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-08-25T20:00:53Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,16,avx512vnni,cpu/avx512vnnix16,20.718,309.4,1177681920,24.4,49.78042776769,49.0137388617427,1218,,none,ok,
DESKTOP-HV2MQTM,2026-08-25T20:00:53Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,16,,cpu,23.88,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-25T20:00:53Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,16,,cpu,31.21,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
